"Postcode","Name","Line.1","Line.2","Town","County","lat","lng"
"AB41 3AA","SYMPOSIUM coffee house ELLON LTD","25 Bridge Street ","","Ellon","Aberdeenshire",NA,NA
"AB56 5DJ","Bijou by the Sea","Bijou by the Sea","Great Eastern Road","Portessie","Moray",NA,NA
"B50 6AB","MISS KOREA","155 Bromsgrove Street","","Birmingham","",NA,NA
"BB12 1BB","GEMMAS CAFE","BURNLEY MARKET HALL","CURZON STREET","BURNLEY","LANCASHIRE",NA,NA
"BD17 4AW","Oakwood Hall","Oakwood Hall Hotel","Lady Lane","Bingley","West Yorkshire",NA,NA
"BH19 2FH","The Pier Head","The Pier Head","Lower High Street","Swanage","Dorset",NA,NA
"BH23 6JJ","Richmond Hill Lunch club","St Peters Church","St Stephens Road","Bournemouth","Dorset",NA,NA
"BH24 9HU","The White Hart Inn","171 Southampton Road","","Ringwood","Hampshire",NA,NA
"BL0 4LZ","Mala Indian Restaurant ","18-20","","Holcombe Village","",NA,NA
"BN8 3UX","Baldwin Family Caterers ltd","west hove golf club ","badgers walk ","hove","East Sussex",NA,NA
"BS1 1NS","Creams Cafe","25 Baldwin Street","","Bristol","",NA,NA
"BT14 3BU","Yellow Fin Kitchen ","Antrim riad","","Belfast ","N ireland ",NA,NA
"BT47 5AJ","SUBWAY","Unit 7A","Crescent Link Retail Park ","Londonderry","Londonderry ",NA,NA
"BT51 1LD","Ground Espresso Bars Ltd","25 KINGSGATE STREET","","COLERAINE","",NA,NA
"BT56 8BC","Ground Espresso Bars Ltd","52 MAIN STREET ","","PORTRUSH","",NA,NA
"C08 5AT","Thatchers Arms","Thatchers Arms Public House","Hall Road","Mount Bures","Essex",NA,NA
"CH2 8AR","Concept catering c/o Chester golf club","Chester golf club ","Curzon park ","Chester","Cheshire",NA,NA
"CM3 2TF","THE WHEATSHEAF","THE WHEATSHEAF","MALDON ROAD","HATFIELD PEVEREL","",NA,NA
"CM8 9EA","Forrester Park ","Forrester Park Golf Club ","Beckingham Road ","Great Totham , Maldon ","Essex ",NA,NA
"CO12 2XQ","Sudbury McDonalds","McDonalds Sudbury","Chilton Industrial Estate ","Sudbury ","Suffolk",NA,NA
"CT19 9NL","Subway","8 Ramsgate Rd","","Sandwich","",NA,NA
"CV32 4QC","Starbucks","Unit 2 Whiteheads Court","Royal Priors","Leamington","",NA,NA
"D12 7HD","Champneys Springs","Champneys Springs","Gallows Lane","Packington","Leics",NA,NA
"DN17 6TB","20-21 Visual Arts Centre","Church Square","","Scunthorpe","North Lincolnshire",NA,NA
"DN4 5SJ","Holiday Inn Express Doncaster","First Point Business Park","","Doncaster","",NA,NA
"EC1V 9NV","Bone Daddies","The Bower","211 Old St","London","",NA,NA
"EC4M 9DG","The Japanese Canteen ","61 Watling Street","","London","",NA,NA
"EH11 4DC","KFC","Herminston Gait Retail Park","Milton Road","Edinburgh","",NA,NA
"EH53 0GH","Calderwood Cafe","1 Calderwood Square","Calderwood Road","East Calder","",NA,NA
"G1 3RL","Di Maggio's Restaurant (Theatreland)","163","West Nile Street","Glasgow","",NA,NA
"G1 8LW","steak and cherry","516 sauchie hall street","","glasgow","",NA,NA
"G3 9TQ","The Lorne Hotel","923 Sauchiehall Street","","Glasgow","",NA,NA
"G3 9TQ","Bukhara Restaurant Glasgow","923 Sauchiehall Street","","Glasgow","",NA,NA
"G33 9DT","McDonald's","800 Westerhouse Road","","Glasgow","",NA,NA
"GH1 5HF","TJ Hughes Glasgow","TJ Hughes 127-135","Trongate","Glasgow","",NA,NA
"HS9 5TD","Eoligarry School Canteen","Eoligarry School Canteen","","Isle of Barra","Western Isles",NA,NA
"IP18 3AY","The Blyth Hotel Ltd","The Blyth Hotel","Station ","Southwold","",NA,NA
"IV14 7XY","Forss House Hotel","Forss House Hotel","Forss","Thurso","Caithness",NA,NA
"IV31 8QN","Grampian Coffee House","Linkwood Place","Waulkmill House","Elgin","Moray",NA,NA
"KW17 1JZ","Albert Hotel LTD","Albert Hotel Ltd","Mounthoolie Lane","Kirkwall","",NA,NA
"L1 1QU","Wok & Go","Unit 2  Central Station","Ranelagh Street","Liverpool","",NA,NA
"L1 1TL","McDonalds ","Unit B St Johns Shopping Centre","St Johns lane","Liverpool","",NA,NA
"L1 3HU","Georges Great British Kitchen","98 Paradise street","","Liverpool","",NA,NA
"L2 9TF","THE DREAM BAR LIMITED TRADE CARLISI ","92 94 dale street","","liverpool","",NA,NA
"L39 1BP","The Yew Tree","The Yew Tree","Grimshaw Lane ","Ormksirk","Lancashire",NA,NA
"LS15 5DT","H&M Ice Ltd","  43-45 Station Rd  Leeds ","Cross Gates","Leeds","",NA,NA
"LS17 9TA","White Swan Hotel","White Swan Hotel","High Street","Leeds","W Yorkshire",NA,NA
"M01 4BT","Chopped Manchester","Unit E1A","City Tower , New York Street","Manchester ","",NA,NA
"M4 3QA","TACO BELL MANCHESTER ARNDALE","MANCHESTER ARNDALE CENTRE","","MANCHESTER","",NA,NA
"MK15 9YJ","Lovat Fields Village","Japonica Lane","Willen Park","Milton Keynes","",NA,NA
"NE11 9GY","Subway","1/280 Russel Way Metrocentre","","Gateshead","",NA,NA
"NE42 4AA","Gloria Restaurant (Prudhoe) Ltd","55 ","Front Street","Prudhoe","",NA,NA
"NE8 5HY","PORKYS ","PORKYS KELLS LANE","168 KELLS LANE","LOW FELL","TYNE & WEAR",NA,NA
"NN10 0MW","FLUTTERS RUSHDEN","COLLEGE ST","","RUSHDEN","NORTHANTS",NA,NA
"NN18 9XW","McDonald's Restaurant","McDonald's Restaurant","Northfield Road","KETTERING","Northants",NA,NA
"NN6 9BF","BCF Action Ltd T/A Olive Branch Coffee Shop","Community Centre","Spratton Road","Brixworth","Northamptonshire",NA,NA
"NP10 1FX","Tiny Rebel","22 HIGH STREET","","NEWPORT","",NA,NA
"NR39 3AG","Kings arms ","The kings arms ","Main road ","Fleggburgh ","",NA,NA
"OX10 4LX","MCDONALD'S","MCDONALD'S ,A4074/B4009","OXFORD ROAD","BENSON","OXFORDSHIRE",NA,NA
"OX2 2NA","THE FISHES","NORTH HINKSEY VILLAGE","","OXFORD","",NA,NA
"PA4 3AE","KFC","125/129 Renfrew Road","","Paisley","",NA,NA
"PA47 7UD","Lochindaal Seafood Kitchen","Lochindaal Seafood Kitchen","Port Charlotte","Isle of Islay","Argyll",NA,NA
"PE21 7NF","Starbucks","Starbucks, The Quadrant ","Scott Drive, Wyberton ","Boston ","",NA,NA
"PE25 5RD","Trafalga Inn","101 St Leonards drive ","Chapel St Leonards","Skegness ","Lincolnshire ",NA,NA
"PH1 4RG","KFC","Dunkfield Road","","Perth","",NA,NA
